,plaintext,ciphertext
42315,86a1,8c8d
42316,9099,bd7c
42317,30bb,05da
42318,d29c,ca80
42319,ad03,b02d
42320,8209,f92a
42321,3244,2c5b
42322,898f,7ba4
42323,6d27,98a0
42324,480b,c7ba
42325,120e,a2d1
42326,a31b,4f30
42327,ab49,c457
42328,fdb1,2a6c
42329,0feb,c94d
42330,5738,aec5
42331,5605,3f5b
42332,98aa,5d1b
42333,ca20,5250
42334,fd1b,6ab5
42335,fcb8,e367
42336,4f14,01a8
42337,d1f0,1e1c
42338,9ed3,5af8
42339,f645,a799
42340,1a80,0fe7
42341,f2ef,e949
42342,5fd8,a0f6
42343,673e,0320
42344,ec6d,7c00
42345,5697,acf3
42346,ec01,3c6d
42347,1151,9424
42348,0c38,5265
42349,f6fb,7bf0
42350,f008,af8e
42351,fc75,58f1
42352,64a9,f0c6
42353,02a7,b6cd
42354,2fb3,0a36
42355,915d,a45b
42356,36cd,64fa
42357,e615,9126
42358,f920,a50f
42359,aed5,2056
42360,2c96,e18f
42361,da72,15f5
42362,eb88,25e7
42363,5d9c,0767
42364,0795,bdaf
42365,b9d2,9e0e
42366,cc37,703b
42367,0d39,7c46
42368,0005,04d7
42369,fa76,d650
42370,aa7b,681c
42371,b832,833b
42372,6186,64b5
42373,f70b,e582
42374,5698,7c6e
42375,05f5,252f
42376,a4b7,f189
42377,5a2c,0ace
42378,6f30,d615
42379,be75,ba93
42380,e6dc,e2e3
42381,01cb,8b89
42382,1033,a1db
42383,3882,a545
42384,a52b,1e9d
42385,297d,535a
42386,46de,d3f1
42387,0837,1e82
42388,ac27,d420
42389,e1d7,1242
42390,760a,08ab
42391,cf2d,80c2
42392,94f9,ea3f
42393,1700,07c2
42394,74b5,1dcc
42395,53ca,303f
42396,f6d0,fc6a
42397,963c,ccac
42398,d396,f24d
42399,abf6,2ece
42400,c9f4,7377
42401,e72e,c16e
42402,d490,2119
42403,9fb3,0858
42404,6cae,c554
42405,ef85,ec79
42406,5736,841d
42407,bc2c,123c
42408,c76a,d94b
42409,c937,d8f0
42410,777a,fdc2
42411,6215,e5cd
42412,65d9,a609
42413,f593,4c09
42414,483d,f67c
42415,015d,aa4b
42416,7683,38db
42417,e507,8216
42418,b996,354c
42419,8487,f3ff
42420,bd81,f03e
42421,f54f,cca7
42422,bc77,ecef
42423,5aa3,799d
42424,6b69,076d
42425,dd20,7b60
42426,e64a,892f
42427,cfcc,28bf
42428,5d2b,ddeb
42429,a1d6,c865
42430,e02b,3ca4
42431,2a40,611a
42432,3cb6,aaa0
42433,2d70,c2bb
42434,6508,91eb
42435,2f8c,81e5
42436,d6f1,a58c
42437,8e4f,4cdc
42438,a5b3,98ea
42439,d222,aaf0
42440,59b9,c6d4
42441,837e,995b
42442,f0c0,dd4b
42443,2480,f0a5
42444,7fa2,1d92
42445,73cf,dc9e
42446,4a75,f463
42447,3a1d,8fbd
42448,1634,30de
42449,bc41,ffe8
42450,f502,65c1
42451,b0b0,8eae
42452,b5f2,93e8
42453,c61f,a11c
42454,d28a,8493
42455,4701,881f
42456,2177,46cf
42457,4f28,0efa
42458,226d,95a9
42459,1ef0,cec6
42460,44ee,3837
42461,6644,bdca
42462,d7b5,96e2
42463,10ab,0398
42464,3786,50cd
42465,41d8,36c6
42466,59ef,f5a5
42467,7350,0629
42468,1cd6,0de3
42469,20ab,2ba1
42470,c6d2,60c2
42471,f84f,9427
42472,dbe4,6dad
42473,bd9b,3f72
42474,a3c9,ecb1
42475,8f42,bf4e
42476,734e,ab6f
42477,18c2,da57
42478,4d54,1b0f
42479,6dd2,99c0
42480,c83c,b414
42481,5494,1dc1
42482,935a,2608
42483,3302,b0fd
42484,19d4,a38b
42485,9706,39f0
42486,ff57,5383
42487,12c3,06e9
42488,df88,5bfa
42489,842f,dec7
42490,7e6e,53d6
42491,73a2,0304
42492,a48c,c541
42493,b67a,d663
42494,a962,dc5d
42495,afe1,9b4f
42496,1368,6ede
42497,2acc,2a30
42498,5c1c,fcb0
42499,ba38,79f6
42500,474b,4919
42501,4376,deac
42502,a455,7a49
42503,adca,1a32
42504,7e27,9d66
42505,377d,0465
42506,a75f,f6ec
42507,c2e7,c6a7
42508,f61a,0665
42509,67b1,0412
42510,3f96,b1b6
42511,b763,3e46
42512,713a,445e
42513,3ef2,45e7
42514,13de,c56e
42515,1005,6528
42516,59b2,cb8c
42517,0558,c080
42518,ca3a,ff9d
42519,939e,112f
42520,9680,12dd
42521,d176,c72c
42522,595f,f018
42523,0576,4392
42524,6e0a,ad37
42525,885a,a1b7
42526,51d3,392d
42527,5b3d,0422
42528,6dc2,1601
42529,5ca8,ec95
42530,8c42,6b53
42531,322f,2b36
42532,74a3,5d7e
42533,d468,57ea
42534,dc8c,1796
42535,76fc,67c2
42536,1bc3,71c0
42537,687e,d90b
42538,de7f,1ceb
42539,60d5,7720
42540,039a,40f3
42541,7822,7287
42542,edec,f508
42543,3fc9,cca2
42544,314d,6e96
42545,193d,a037
42546,9fa6,6ae8
42547,72db,d333
42548,f894,4ad4
42549,35db,b58c
42550,b193,c260
42551,ad71,11fa
42552,3b32,00f4
42553,18d6,2a75
42554,4d1b,1307
42555,c049,c44e
42556,bb84,0648
42557,d61e,80a4
42558,3687,2771
42559,b89e,64d8
42560,c6ed,20ae
42561,c9fa,f899
42562,348d,c974
42563,8257,6dbb
42564,77fb,89f9
42565,0dc1,f76b
42566,6046,494b
42567,5b37,953d
42568,b410,d5e9
42569,dae0,2bf9
42570,fe21,8696
42571,cd39,4654
42572,0e0f,c1da
42573,1948,aec3
42574,1a1d,9367
42575,05cf,16a6
42576,3afc,fcc0
42577,c626,39d2
42578,2974,e431
42579,b86c,5d4f
42580,e5d9,7f92
42581,8a64,c01d
42582,e023,ba53
42583,3da2,0a94
42584,211b,afc3
42585,1e82,6c66
42586,fcb5,0d67
42587,8a1c,11a5
42588,b6d7,7e82
42589,1be4,12b2
42590,ee88,2660
42591,7dde,383c
42592,92ef,45b9
42593,6ef9,6cc9
42594,e44c,bfae
42595,e30d,6ff2
42596,1bbc,3620
42597,b0a0,abd6
42598,4b2c,b693
42599,1735,4d3e
42600,f088,6224
42601,66d8,49f4
42602,3809,0a0d
42603,42af,e869
42604,4836,b1c1
42605,dc5a,3fbf
42606,010f,ccca
42607,07c6,1a18
42608,f93c,32f8
42609,e730,755d
42610,2509,24e5
42611,0a08,2ba7
42612,40c5,e5a4
42613,593c,6c73
42614,f188,23a7
42615,2b04,b8fe
42616,8727,bd84
42617,b5af,a24c
42618,c8db,29c9
42619,28ab,1186
42620,80a4,e14c
42621,28b7,9cfd
42622,de25,5e38
42623,a70d,6e2c
42624,2f5e,6976
42625,c549,2f4b
42626,df94,f214
42627,f5d4,9f4c
42628,59f5,8c05
42629,3be3,9c77
42630,3810,61d6
42631,0eb2,8956
42632,a21a,7901
42633,ca4a,f273
42634,c7ad,9450
42635,eae8,1376
42636,bc44,95ad
42637,c7f3,1f95
42638,5cac,3c7f
42639,caee,339c
42640,fe88,5306
42641,a5ac,1eae
42642,5acc,67a5
42643,8457,e800
42644,d22d,fa7d
42645,8bea,a96a
42646,c732,fc17
42647,fbe5,246a
42648,f514,65fe
42649,08da,c366
42650,025a,8f8e
42651,7b20,4cea
42652,085e,608e
42653,7bc9,f5ab
42654,dda8,900e
42655,95b2,b7db
42656,f1e0,59a8
42657,cb13,f3cd
42658,bb2c,4183
42659,c7cd,7061
42660,dbca,4fa4
42661,0f3c,0672
42662,0850,a7d7
42663,9753,452e
42664,2301,646b
42665,9867,310b
42666,c2b6,66b5
42667,ec6c,3ecc
42668,877f,1ea8
42669,27f5,dc2b
42670,02b9,0dc4
42671,42d6,39fe
42672,1a7f,7c76
42673,8f59,5318
42674,59c1,ab78
42675,4dbd,e7be
42676,182a,2c03
42677,a06c,5a9d
42678,32fc,fafd
42679,68a3,bd22
42680,f28f,e54c
42681,aa49,ddc4
42682,acd0,b647
42683,ecd6,96d0
42684,3c10,89b5
42685,0071,60ca
42686,c89c,c709
42687,f15e,d441
42688,9e1e,7e70
42689,b3a9,159f
42690,ae2c,8ab7
42691,66d3,b227
42692,4071,cdc3
42693,8c3d,fd72
42694,c233,62bb
42695,1e52,f318
42696,66e4,1863
42697,4971,5c9a
42698,978b,57c5
42699,a7ed,418d
42700,4546,b57c
42701,ef1a,7046
42702,44ed,1688
42703,8bbc,a3bf
42704,da2e,70a8
42705,4f15,b126
42706,cfda,3b43
42707,969a,f2dc
42708,6bce,60b6
42709,c652,691b
42710,6d84,3f12
42711,b27f,922b
42712,5381,99cb
42713,334c,abb4
42714,b5d3,9e21
42715,6462,83f4
42716,3e49,b6e9
42717,8273,8e66
42718,93d6,0a14
42719,8874,71c5
42720,63ab,3597
42721,2a7f,d039
42722,7050,057f
42723,7869,67f7
42724,294b,dc91
42725,0b48,01e3
42726,66a8,43f5
42727,4297,109b
42728,fa00,7954
42729,af19,7cd2
42730,aea8,5c54
42731,e986,e51b
42732,917b,7cf9
42733,515d,2c4a
42734,dcdf,0f89
42735,5a9a,4063
42736,4039,bdf8
42737,d3f4,61b9
42738,404b,a6c9
42739,ed60,e3c9
42740,064b,4bd3
42741,8f76,d7d0
42742,f748,1169
42743,213f,b1f7
42744,cb3c,2c6c
42745,8ff9,49a5
42746,eb91,295d
42747,616b,496a
42748,2eb7,3569
42749,26e2,9aed
42750,2c9f,75af
42751,70b9,059a
42752,98f4,7f4d
42753,e3bb,2148
42754,ce2a,7b70
42755,db38,f019
42756,bc72,b624
42757,ce27,ad13
42758,7be6,a822
42759,59bb,9d3c
42760,2061,10ca
42761,ad9b,f57f
42762,4776,9bb5
42763,af4c,7da8
42764,92d4,481f
42765,15ba,a35f
42766,606a,3dd3
42767,55c4,735c
42768,f267,1b98
42769,0048,8390
42770,25e3,5a6a
42771,629d,9efd
42772,7ff6,6875
42773,6d19,72a6
42774,f3f0,17a2
42775,5814,dc3a
42776,6149,4ebe
42777,c47d,c708
42778,51d4,bcca
42779,dca4,01dc
42780,c139,f767
42781,8c27,bf8b
42782,4528,79f2
42783,fcd6,044f
42784,7427,27c4
42785,1afa,be80
42786,2e4f,608d
42787,41fe,91d6
42788,fe4d,826c
42789,54f1,5f2f
42790,b60a,eccd
42791,a488,3d07
42792,a6f5,5994
42793,e4e0,cc77
42794,c036,0344
42795,7e14,9d60
42796,3c98,6c98
42797,afdc,ed54
42798,256d,d4b7
42799,4894,9e9d
42800,9abb,99dd
42801,70f4,b170
42802,a247,5854
42803,9f2e,599c
42804,6a50,2561
42805,7e7f,2748
42806,e9c6,ccae
42807,8734,c336
42808,288d,4f4b
42809,6323,defd
42810,ee10,7831
42811,5f2d,9821
42812,907c,545f
42813,5f84,20a3
42814,116e,01b8
42815,1572,128b
42816,e116,3e7c
42817,8b3d,4b92
42818,ecfd,25a0
42819,1a2e,933a
42820,5751,f191
42821,dd88,32ca
42822,1564,a539
42823,d504,dd9d
42824,2fba,6888
42825,496d,b797
42826,0fd0,755b
42827,1185,1a38
42828,40c1,d110
42829,c7e1,3bf7
42830,70ac,7fae
42831,ece4,bb22
42832,0c7f,cb78
42833,d5bf,3c80
42834,806f,b2fb
42835,6467,4bc0
42836,2181,f634
42837,ef3f,c24c
42838,eb21,265f
42839,168e,33ac
42840,7ba6,2414
42841,8bf2,511f
42842,d267,6096
42843,7ee9,5cc4
42844,c1ad,ffc0
42845,1b86,180f
42846,1aaa,2dd6
42847,7756,b686
42848,268d,49ad
42849,07e7,797a
42850,736a,1775
42851,3b4a,ff20
42852,93a5,dd97
42853,3012,137b
42854,6a2e,7269
42855,be53,c389
42856,06ae,314b
42857,8acd,6bb7
42858,da43,6008
42859,f0f2,64e8
42860,2648,82af
42861,61ae,c301
42862,b768,3bae
42863,5322,1a33
42864,905c,22be
42865,4fcc,0bdc
42866,7b6e,5f6f
42867,379f,101b
42868,69d1,d82c
42869,60f5,ba4f
42870,9012,25e8
42871,7777,2711
42872,4c8b,96fd
42873,d52a,34cb
42874,c17a,f4f8
42875,cde3,4125
42876,e6b3,5837
42877,213d,4291
42878,f304,1499
42879,c868,37a9
42880,6062,145f
42881,2871,06d8
42882,69a9,f616
42883,4ed7,76f8
42884,5458,daba
42885,b407,05e6
42886,40f6,584b
42887,0014,03ab
42888,d2ef,a87a
42889,ab57,fd07
42890,37ab,6f42
42891,67b4,15b2
42892,fdac,6087
42893,d201,2742
42894,61bb,84e2
42895,9290,dbd6
42896,70f3,3a68
42897,27ed,a356
42898,8a3a,6217
42899,5490,90f5
42900,ff2c,f977
42901,cddf,b72e
42902,22d3,1f00
42903,24cf,bec4
42904,c54d,6baf
42905,0dcc,0174
42906,52a6,e2a9
42907,d2b8,05c5
42908,1c87,a66f
42909,369e,81a6
42910,73a7,4c83
42911,9316,2b3a
42912,e211,0b45
42913,a87a,a1bc
42914,c05c,87cf
42915,1ee0,03d6
42916,22ad,a03c
42917,f5e3,35af
42918,1d26,d1fe
42919,c0a0,0d5f
42920,96c2,f352
42921,a3ed,41b0
42922,cf66,e6c1
42923,9617,0fe3
42924,557a,46d7
42925,a114,8f20
42926,72d9,9954
42927,f147,5a5d
42928,7645,0056
42929,a5e5,3577
42930,9d09,873f
42931,a5e4,884c
42932,2d8d,9f9b
42933,8ea9,3565
42934,dccc,e852
42935,ea5d,a407
42936,2a90,dee4
42937,9c3b,8192
42938,4301,dbfc
42939,5d53,157d
42940,04d6,ce51
42941,2db3,3a33
42942,08c4,56e8
42943,0c92,38f1
42944,a540,d5d8
42945,b6c2,27f5
42946,e45a,6417
42947,b27c,7166
42948,2646,d9c5
42949,6245,8cf6
42950,8c21,8431
42951,d48c,22cd
42952,fdba,2060
42953,361a,8928
42954,3fc8,4c4d
42955,03b6,9aa3
42956,a19f,8cb2
42957,aed1,29e2
42958,f5cf,e3a0
42959,4a49,20b6
42960,6b82,9de2
42961,850d,b2fc
42962,8422,71e7
42963,5e60,8b1b
42964,e19c,18df
42965,4d32,f397
42966,fd2f,d32a
42967,53b3,b74f
42968,b9b5,5b10
42969,6f04,6d8c
42970,1cc7,4036
42971,71eb,2d7b
42972,8400,a04a
42973,40c4,61af
42974,134f,6446
42975,2069,1b8e
42976,7726,81fe
42977,b334,680d
42978,ac19,2b15
42979,a808,0ddb
42980,68fb,f71c
42981,eec9,9305
42982,bc52,c7b4
42983,4a3e,f2fe
42984,3146,8c9c
42985,7058,66f9
42986,1b97,3a10
42987,ef51,080b
42988,390e,9899
42989,e4fe,df83
42990,1c88,caf8
42991,f1a2,cc61
42992,76f0,f970
42993,b786,8ecc
42994,008c,97a9
42995,a550,c5d8
42996,bae0,ffb9
42997,a6a5,37b2
42998,77f6,b8c5
42999,0fe4,047c
43000,14a1,b994
43001,81b0,3aa4
43002,ee18,934e
43003,85e4,9f6c
43004,9bb4,802e
43005,1e5f,6083
43006,8e0d,bfff
43007,6938,5ccb
43008,267e,ac52
43009,0564,19bc
43010,8eba,a48b
43011,6afc,37b8
43012,8d74,d107
43013,edbb,c297
43014,963e,0329
43015,0340,4f4f
43016,dd64,3f7d
43017,248b,b1e8
43018,3bd7,21a6
43019,5c2c,4649
43020,aa6e,11ed
43021,8f37,8005
43022,b14f,d07d
43023,2136,f44a
43024,3343,834d
43025,530c,55f4
43026,542e,7828
43027,5aba,03a6
43028,9ba9,eddb
43029,9484,dbb0
43030,2cec,25db
43031,eeca,a98b
43032,175f,8f14
43033,ec84,e8b1
43034,5357,4b26
43035,c838,4909
43036,45bb,7f7d
43037,af97,dc64
43038,c4fc,ede4
43039,a311,2da0
43040,8f2d,5de7
43041,7eac,8b1e
43042,984c,efa8
43043,9696,9ce8
43044,bb70,f765
43045,43e6,92eb
43046,6e2d,8f0d
43047,e234,8f7e
43048,2036,0391
43049,0ff3,27cd
43050,0d98,ca33
43051,aa9d,6f7f
43052,15b7,051c
43053,6ee8,0cc9
43054,588c,7697
43055,d293,9cf8
43056,d82d,4390
43057,d446,ac3e
43058,65a4,928d
43059,622c,c3d0
43060,bb75,4851
43061,f05e,6383
43062,6f94,fd43
43063,9910,bf79
43064,9735,4e8e
43065,4df9,2ab9
43066,6746,3c27
43067,a4f3,da23
43068,47a8,3c47
43069,82d8,c734
43070,613e,3e09
43071,529f,9cfb
43072,56a0,6ca1
43073,3abc,1501
43074,6d13,9926
43075,68f5,b141
43076,0da5,8e98
43077,7bfe,fff0
43078,9b3c,c06a
43079,ca8a,317f
43080,f662,e10f
43081,e4c6,8783
43082,93a4,4213
43083,f72b,582c
43084,470c,39a4
43085,0774,a661
43086,3e2b,a1cb
43087,adb5,e8cf
43088,cd2a,0ece
43089,b676,1375
43090,dd1f,6ded
43091,c0cd,70a4
43092,b1e2,248a
43093,199e,a63f
43094,245d,85ce
43095,fae3,7492
43096,c1eb,c892
43097,b027,a022
43098,6105,9041
43099,23c0,9331
43100,56ab,e4ed
43101,36f2,2a4d
43102,1393,62ee
43103,243f,b974
43104,714f,36dc
43105,04b5,e7af
43106,7a4d,7ea9
43107,e1be,ca39
43108,e508,52d1
43109,64a6,b9c6
43110,a4ec,d137
43111,8021,d101
43112,de30,6aec
43113,1c59,399a
43114,8799,0340
43115,a886,86d3
43116,8f1c,4af5
43117,9dc1,11af
43118,20a4,86bb
43119,a608,00f9
43120,fb7d,9c5d
43121,8bf3,a6d3
43122,77ed,1f3a
43123,742f,7ce7
43124,2a22,595b
43125,0dec,384e
43126,e320,cff2
43127,b9db,250b
43128,f05f,1ed6
43129,6063,ba17
43130,3f4a,ea78
43131,dddb,0788
43132,46d2,933d
43133,58fb,16d5
43134,6260,d9fb
43135,12b6,277e
43136,0c39,8c98
43137,1382,30fd
43138,1ec3,ad92
43139,0594,c083
43140,7477,c209
43141,fe4a,c937
43142,9b5c,e960
43143,4159,145e
43144,94a5,0a9e
43145,7265,e5bd
43146,2a5b,14c1
43147,1d44,5f6e
43148,559e,214b
43149,bda7,192b
43150,aa11,c2c9
43151,10bd,6d71
43152,a22f,05bd
43153,61a6,4ce7
43154,076b,c256
43155,470d,6d7a
43156,ca84,1791
43157,2b2c,e846
43158,8937,0c0d
43159,f551,c365
43160,4ddf,e2cf
43161,fc05,483b
43162,5912,cddf
43163,8514,78e7
43164,21e9,43d6
43165,bd3b,95ac
43166,2aa0,9459
43167,5580,1e57
43168,74be,0740
43169,88fe,3505
43170,4ee1,628a
43171,cabe,302d
43172,7056,854c
43173,18ab,4e4d
43174,c1e1,c83a
43175,691e,d46f
43176,fc48,13ce
43177,0918,8a75
43178,236f,bafa
43179,34f3,c9c0
43180,2307,bc17
43181,01b9,8be9
43182,cbaa,70d2
43183,0203,ded0
43184,cec9,f68c
43185,7f3b,c6c9
43186,654f,ba54
43187,5f0d,d1ac
43188,cffb,5357
43189,34d6,c808
43190,6b2a,5fe3
43191,ec1f,4307
43192,2fc8,628b
43193,9bf5,dfa2
43194,bed9,0fe8
43195,a134,21b6
43196,14ce,03cc
43197,5610,2235
43198,f3a7,8ccb
43199,ef04,c325
43200,2dc5,5a8e
43201,f049,6a1c
43202,8f45,05f6
43203,e9c4,6a67
43204,0b2c,4b34
43205,81eb,9bf0
43206,2600,c87b
43207,d0a8,0af0
43208,3e3a,f255
43209,c281,522c
43210,9477,8967
43211,8dea,6802
43212,d5ce,6103
43213,3be6,f5be
43214,e3c6,48d2
43215,04f0,98f2
43216,a980,29d4
43217,a023,dcd7
43218,7738,a96c
43219,1161,6b95
43220,78bc,4961
43221,b0eb,ee45
43222,ff96,2aa0
43223,cfa1,3b08
43224,0da8,861a
43225,0f42,b6da
43226,f7e2,309c
43227,352e,2836
43228,bf18,d003
43229,4d6f,21af
43230,e4b6,66be
43231,1903,69d3
43232,8d20,0554
43233,4134,188f
43234,a2a9,df64
43235,4b74,1fe0
43236,c6c6,07b5
43237,284b,f25f
43238,e055,f485
43239,4e1c,7371
43240,a768,7c6a
43241,0930,0c71
43242,dcc9,f051
43243,6500,6d5c
43244,81bd,5b48
43245,4bfd,0826
43246,23fc,b66a
43247,e19b,1d23
43248,8db9,4332
43249,ca99,6e3f
43250,004d,323b
43251,174a,3c91
43252,d213,0655
43253,98f6,5a82
43254,ed40,e0be
43255,6767,8bcd
43256,6642,feee
43257,45fe,f851
43258,49de,0867
43259,3e0f,8bef
43260,a964,640d
43261,e389,8f02
43262,f63f,39d5
43263,8281,267f
43264,4d46,f70e
43265,1f64,4aca
43266,22ef,bec5
43267,6246,bd32
43268,da08,db9e
43269,45a8,97f0
43270,2776,0134
43271,9e67,2f2a
43272,5826,6def
43273,c53f,beda
43274,6975,1d3e
43275,4aeb,0aa3
43276,87a3,4c2f
43277,efad,e6cb
43278,f401,218a
43279,6cd8,903c
43280,7d06,b996
43281,7584,6f03
43282,d82b,4a4e
43283,f725,9120
43284,8ea0,3083
43285,32f9,fa9b
43286,bb50,d1c2
43287,fb53,1cf2
43288,1364,89d9
43289,04cf,da76
43290,8a05,9095
43291,bb77,35fa
43292,e1dd,aa0b
43293,aad3,7379
43294,827e,f755
43295,907f,3113
43296,84db,130c
43297,c1e5,a5f6
43298,c431,0b43
43299,4175,2693
43300,ee75,a728
43301,1e22,aafd
43302,72cd,7f5f
43303,1b45,19c5
43304,0726,b9ab
43305,8e28,7d9b
43306,4bab,a924
43307,b9e4,3000
43308,40f8,364e
43309,809b,d7f9
43310,3399,62c1
43311,ceeb,cfb5
43312,7bec,936b
43313,3c0e,cf23
43314,6867,fe33
43315,3860,a8fb
43316,5012,201c
43317,a617,0202
43318,9ae7,6d96
43319,80f6,ee18
43320,b32e,6088
43321,f9b9,b361
43322,a21b,7b22
43323,e483,d0d3
43324,df58,227e
43325,4f6a,2dd0
43326,7071,98d0
43327,6cb0,6bcd
43328,e90b,6c9d
43329,121c,ad9a
43330,e4cc,b1f8
43331,dca0,ce59
43332,c2a1,98f1
43333,9b2f,1fe6
43334,e84a,3682
43335,dfd7,4eca
43336,ee4b,2a6a
43337,b309,c465
43338,4fb3,1522
43339,8506,2aea
43340,ca41,f412
43341,81ad,99a7
43342,1a03,65f2
43343,54aa,afea
43344,89bd,419e
43345,44a5,c40e
43346,3b5f,784c
43347,d348,aaff
43348,62e7,a86a
43349,927f,3413
43350,3a96,3f59
43351,6b45,32db
43352,87bb,8d7f
43353,9564,86be
43354,6a16,229d
43355,41b7,ab4d
43356,3c22,379e
43357,0def,ef03
43358,299f,b5fa
43359,b727,a975
43360,2729,08a0
43361,43ef,0aea
43362,1376,238d
43363,1da0,21aa
43364,6ef3,451c
43365,b480,2cb6
43366,0913,887d
43367,677c,e35d
43368,6853,ed82
43369,8caf,e2a1
43370,c632,a9a7
43371,f5f4,c8f3
43372,0ad7,b6db
43373,00a2,19ef
43374,1c2f,e0ea
43375,a421,a1ef
43376,5009,de61
43377,bcfc,72fa
43378,08d8,0f13
43379,8d7a,7a4c
43380,1e2d,3e84
43381,cef7,6dfc
43382,3117,aba2
43383,7b53,fd8b
43384,ae6e,70d4
43385,b252,92bf
43386,9a0c,1287
43387,e89f,e639
43388,2248,d5c5
43389,6a54,9b2c
43390,206f,b5f9
43391,5538,05fa
43392,a761,494f
43393,9e78,e6a1
43394,4c6d,34e3
43395,a130,5cbc
43396,ea17,1546
43397,4c19,c157
43398,106b,a68b
43399,4236,3355
43400,9388,24b3
43401,1e77,4fb5
43402,74d6,e6b9
43403,32e0,5870
43404,df45,c8d8
43405,08e7,c93a
43406,721b,1c6d
43407,41a9,aeee
43408,6d8c,5b2c
43409,3e0d,8734
43410,e93a,6f77
43411,7519,378c
43412,f908,a789
43413,8e45,748e
43414,5ba4,87c6
43415,b2e4,a00c
43416,7739,93f2
43417,0ce4,2fb8
43418,63c3,cd0c
43419,aa78,af6e
43420,fad2,4bd1
43421,0822,d9c4
43422,14da,be90
43423,2b6e,f6a8
43424,a757,4e34
43425,7945,5797
43426,bbc2,4260
43427,fc96,ae14
43428,1687,ee41
43429,604c,6644
43430,8544,6f3d
43431,b5cc,b138
43432,5228,9d64
43433,8c5c,26de
43434,f664,928e
43435,bd5e,4fbf
43436,7dd7,1a34
43437,d58e,c6ce
43438,13ac,d52f
43439,5a89,71c4
43440,f1ce,1db4
43441,2300,98fd
43442,49ba,3433
43443,d6f8,288e
43444,1d10,a898
43445,285a,6953
43446,6ff9,5cc9
43447,d0f4,6d67
43448,49b2,0ce2
43449,feee,5800
43450,4cf2,b540
43451,3ce6,ff48
43452,4591,64d0
43453,6f70,c751
43454,d6f7,58f9
43455,6677,f989
43456,f579,c287
43457,6e3b,da09
43458,83aa,dc7b
43459,6b66,a759
43460,77f3,aac2
43461,7938,6cc6
43462,0555,10dc
43463,4e2d,dd30
43464,ca43,a013
43465,0ac1,b192
43466,3284,b6f2
43467,1fc6,2f01
43468,1250,0424
43469,d4ab,29b6
43470,9bca,417c
43471,f02c,fa8e
43472,3fdc,a3b8
43473,e295,271e
43474,e13b,7e73
43475,0dca,bd91
43476,07e1,49af
43477,fd1a,ba6a
43478,0ab0,63b1
43479,19ad,9061
43480,6856,7fe7
43481,5fb0,7d07
43482,4267,ba9b
43483,1567,f0f0
43484,2e90,8d81
43485,bb4e,9c41
43486,bb2e,56ff
43487,9718,b779
43488,60b9,a869
43489,8d34,1490
43490,6d14,6dc5
43491,f5cd,43cf
43492,c525,c5d1
43493,0fe2,1523
43494,c4c0,a74f
43495,50ee,219c
43496,0613,de70
43497,819b,e3d7
43498,8818,c667
43499,5f1d,16bc
43500,9fa1,0b58
43501,b6d3,0943
43502,cae2,35f7
43503,23af,1ee6
43504,b631,7437
43505,83bd,3d41
43506,e7f4,f938
43507,e6eb,7ae2
43508,eb5d,fa72
43509,05c6,4798
43510,2a7b,846b
43511,355f,7d9a
43512,2e9f,865c
43513,f024,d329
43514,83e0,377d
43515,15a9,48b4
43516,aa1e,c14f
43517,041a,266c
43518,2637,6fbb
43519,8a20,0a01
43520,292f,bcf3
43521,8a9e,de9e
43522,9579,320a
43523,468a,2b8d
43524,abb0,c921
43525,de6c,ce5f
43526,24ed,8419
43527,fda6,d93a
43528,08f7,2caa
43529,2150,812b
43530,87fa,75cd
43531,7881,22ca
43532,4396,b463
43533,f706,34f2
43534,19c0,3d84
43535,c542,f7ae
43536,e0de,8c47
43537,d1e0,934c
43538,7da2,5654
43539,5dd8,f647
43540,5ec6,c620
43541,5e75,c540
43542,cf07,1b5a
43543,a230,1984
43544,cea0,3eca
43545,7d14,112d
43546,4ccf,63b6
43547,189b,f4b6
43548,adb0,c721
43549,ac4f,5389
43550,5090,c4fb
43551,689f,4dfb
43552,5c74,59c1
43553,fa5e,d850
43554,55a6,7bc1
43555,a938,6741
43556,513c,7695
43557,d63c,20df
43558,f04e,ce30
43559,4c78,ec93
43560,cd17,863e
43561,60a3,0a39
43562,37ce,1094
43563,426c,4144
43564,1d0f,0f2f
43565,fe7e,1842
43566,77b3,a8be
43567,a614,2ed3
43568,4393,427d
43569,b447,bb76
43570,4871,ecdb
43571,34ba,e14f
43572,8772,9b59
43573,ff31,e2e6
43574,c462,afa6
43575,838b,8a03
43576,3b89,f798
43577,0d94,5369
43578,b53f,c7d1
43579,e9b0,c756
43580,2120,3512
43581,0254,6006
43582,e2b2,cd8a
43583,6d26,d521
43584,53f5,4905
43585,13d9,9fe5
43586,a5d3,5738
43587,96fe,d388
43588,e89a,062e
43589,a12a,7e20
43590,2d45,f691
43591,8fa5,3525
43592,19bc,a173
43593,7dfb,cd18
43594,2ede,423c
43595,a93a,b0a5
43596,6d90,73a5
43597,3f70,e55b
43598,37b5,ad2b
43599,8f74,730c
43600,861f,4c55
43601,332a,850b
43602,ba57,8fe3
43603,ac17,4e65
43604,756d,96b0
43605,edb0,b003
43606,e6ca,8396
43607,d47a,29b7
43608,c219,4655
43609,bca6,821f
43610,255f,4d1d
43611,63c8,cc02
43612,3124,ad1b
